,S1_BSA_Blank_U13C_labeled_glucose,S1_BSA_Blank_unlabeled_glucose,S2_SA_Blank_U13C_labeled_glucose,S2_SA_Blank_unlabeled_glucose,S3_LPS853_BSA_unlabeled_glucose8h,S4_LPS853_BSA_unlabeled_glucose8h,S5_LPS853_BSA_unlabeled_glucose8h,S6_LPS853_BSAandSA_unlabeled_glucose8h,S7_LPS853_BSAandSA_unlabeled_glucose8h,S8_LPS853_BSAandSA_unlabeled_glucose8h,S9_LPS853_BSA_U13C_labeled_glucose8h,S10_LPS853_BSA_U13C_labeled_glucose8h,S11_LPS853_BSAU13C_labeled_glucose8h,S12_LPS853_BSAandSA_U13C_labeled_glucose8h,S13_LPS853_BSAandSA_U13C_labeled_glucose8h,S14_LPS853_BSAandSA_U13C_labeled_glucose8h,S15_LPS853_BSA_U13C_labeled_glucose4h,S16_LPS853_BSA_U13C_labeled_glucose4h,S17_LPS853_BSA_U13C_labeled_glucose4h,S18_LPS853_BSAandSA_U13C_labeled_glucose4h,S19_LPS853_BSAandSA_U13C_labeled_glucose4h,S20_LPS853_BSAandSA_U13C_labeled_glucose4h,S21_LPS853_BSA_U13C_labeled_glucose2h,S22_LPS853_BSA_U13C_labeled_glucose2h,S23_LPS853_BSA_U13C_labeled_glucose2h,S24_LPS853_BSAandSA_U13C_labeled_glucose2h,S25_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h,S26_LPS853_BSAandSA_U13C_labeled_glucose2h_redo,Burn_inQCpool1,Burn_inQCpool2,Burn_inQCpool3,Burn_inQCpool4,Noinj_Blank_2,Noinj_Blank_redo26_2,qcpool_redo26_1,qcpool_redo26_2,qcpool_redo26_3,qcpool_redo26_4,qcpool_redo26_5,qcpool2,qcpool3,qcpool4,qcpool5
Glutamine_0,811845.8669,1876191.396,1862746.25,2941962.791,12733960.77,14762358.17,13614722.88,12387120.5,12524283.22,13773585.44,12191367.25,12393576.19,14870590.77,11265456.23,13081297.46,12823577.3,15109630.94,16607022.97,17942803.63,15499547.53,16505450.68,16390247.27,13305347.75,14659876.15,15938094.95,16106795.93,16741638.58,17281939.52,16394896.24,13539572.67,13435123.78,13364137.1,13221536.52,16228.13827,16745.21866,14110860.32,14448422.68,14503325.2,14439626.13,14789424.62,14525373.98,14209480.18,14027548.72,14039708.8
Glutamine_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333.443707,2614.628724,0,0,0,0,0,0,0,0,0
Glutamine_2,494.9972545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6967.775399,1364.990197,0,0,0,0,0,0,0,0,0
Glutamine_3,3242.715975,2806.288144,1941.685763,2982.892044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734.0496634,1817.040311,0,0,0,0,0,0,0,0,0
Glutamine_4,2706.611427,2374.416831,3133.649471,1748.713983,3361.248701,3099.188263,4322.327984,2149.52201,3995.49972,3433.15391,2702.257466,3616.414424,2817.130934,2558.439829,4300.149967,3989.933267,2987.735919,2750.132525,3641.175509,2047.657377,2810.092755,3293.460758,2109.013414,1114.165875,3993.563306,1516.978206,3074.218252,4020.573503,1410.995629,2878.502438,2459.152599,3114.821067,3508.707434,3117.266987,3094.32437,3331.691491,3456.214926,2084.441996,3836.775672,4430.314845,2448.398379,3844.025688,1819.188245,2962.786881
Glutamine_5,3822.481702,2233.911421,3956.798987,4272.311561,2522.832677,5493.791141,3078.795981,2562.136413,3238.343023,4137.028558,5173.059009,2121.167152,4735.386897,3403.860835,4007.840259,2937.385091,3033.147636,4011.520062,3670.220193,4307.500403,4739.457091,2479.452905,2720.164109,5088.581813,2239.329396,1053.987353,3379.565662,4216.005293,3867.909437,3842.292133,2251.351133,3124.547199,2777.445284,2283.145946,712.6873922,2059.544294,5328.810998,3809.584209,2817.459828,3900.211546,2780.922054,2373.167344,3180.544042,2832.519542
Threonine_0,91265.07539,238722.9708,265481.1837,283580.9346,14312174.39,15831614.97,15122523.25,13290482.77,13958924.27,13990768.87,13825815.27,14411513.65,17905149.82,11985392.98,13998773.04,15178601.27,12759992.66,13780563.81,16341388.99,13657681.24,14554369.64,15498763.75,14177398.61,13986640.75,15076712.86,16202940.69,15606757.18,17202493.21,15249452.23,13870332.23,13493234.79,14015283.61,13939306.09,21191.32267,65870.39128,13572390.25,13649184.75,13904696.23,13976401.51,13840041.2,15123892.22,14453523.26,14227739.72,14271705.23
Threonine_1,1179.721227,1854.393373,4464.529007,2563.282788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571.945141,0,0,0,5275.671572,2681.27763,0,0,0,0,0,0,0,0,0
Threonine_2,1119.176323,1168.843771,1979.847925,1185.673215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2944.265442,2076.766654,0,0,0,0,0,0,0,0,0
Threonine_3,2560.32998,1341.409974,1689.840104,1366.080211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2066.590719,2214.694904,0,0,0,0,0,0,0,0,0
