Name	Timepoint	CellLine	Treatment	RealSample
S1_BSA_Blank_U13C_labeled_glucose	8h	LPS853	Blank	FALSE
S1_BSA_Blank_unlabeled_glucose	8h	LPS853	Blank	FALSE
S2_SA_Blank_U13C_labeled_glucose	8h	LPS853	Blank	FALSE
S2_SA_Blank_unlabeled_glucose	8h	LPS853	Blank	FALSE
S3_LPS853_BSA_unlabeled_glucose8h	8h	LPS853	Unlabeled	FALSE
S4_LPS853_BSA_unlabeled_glucose8h	8h	LPS853	Unlabeled	FALSE
S5_LPS853_BSA_unlabeled_glucose8h	8h	LPS853	Unlabeled	FALSE
S6_LPS853_BSAandSA_unlabeled_glucose8h	8h	LPS853	Unlabeled	FALSE
S7_LPS853_BSAandSA_unlabeled_glucose8h	8h	LPS853	Unlabeled	FALSE
S8_LPS853_BSAandSA_unlabeled_glucose8h	8h	LPS853	Unlabeled	FALSE
S9_LPS853_BSA_U13C_labeled_glucose8h	8h	LPS853	BSA	TRUE
S10_LPS853_BSA_U13C_labeled_glucose8h	8h	LPS853	BSA	TRUE
S11_LPS853_BSAU13C_labeled_glucose8h	8h	LPS853	BSA	TRUE
S12_LPS853_BSAandSA_U13C_labeled_glucose8h	8h	LPS853	SA	TRUE
S13_LPS853_BSAandSA_U13C_labeled_glucose8h	8h	LPS853	SA	TRUE
S14_LPS853_BSAandSA_U13C_labeled_glucose8h	8h	LPS853	SA	TRUE
S15_LPS853_BSA_U13C_labeled_glucose4h	4h	LPS853	BSA	TRUE
S16_LPS853_BSA_U13C_labeled_glucose4h	4h	LPS853	BSA	FALSE
S17_LPS853_BSA_U13C_labeled_glucose4h	4h	LPS853	BSA	TRUE
S18_LPS853_BSAandSA_U13C_labeled_glucose4h	4h	LPS853	SA	TRUE
S19_LPS853_BSAandSA_U13C_labeled_glucose4h	4h	LPS853	SA	TRUE
S20_LPS853_BSAandSA_U13C_labeled_glucose4h	2h	LPS853	SA	TRUE
S21_LPS853_BSA_U13C_labeled_glucose2h	2h	LPS853	BSA	TRUE
S22_LPS853_BSA_U13C_labeled_glucose2h	2h	LPS853	BSA	TRUE
S23_LPS853_BSA_U13C_labeled_glucose2h	2h	LPS853	BSA	TRUE
S24_LPS853_BSAandSA_U13C_labeled_glucose2h	2h	LPS853	SA	TRUE
S25_LPS853_BSAandSA_U13C_labeled_glucose2h	2h	LPS853	SA	TRUE
S26_LPS853_BSAandSA_U13C_labeled_glucose2h	2h	LPS853	SA	FALSE
S26_LPS853_BSAandSA_U13C_labeled_glucose2h_redo	2h	LPS853	SA	TRUE
Burn_inQCpool1	Pool	LPS853	Pool	FALSE
Burn_inQCpool2	Pool	LPS853	Pool	FALSE
Burn_inQCpool3	Pool	LPS853	Pool	FALSE
Burn_inQCpool4	Pool	LPS853	Pool	FALSE
Noinj_Blank_2	Pool	LPS853	Pool	FALSE
Noinj_Blank_redo26_2	Pool	LPS853	Pool	FALSE
qcpool_redo26_1	Pool	LPS853	Pool	FALSE
qcpool_redo26_2	Pool	LPS853	Pool	FALSE
qcpool_redo26_3	Pool	LPS853	Pool	FALSE
qcpool_redo26_4	Pool	LPS853	Pool	FALSE
qcpool_redo26_5	Pool	LPS853	Pool	FALSE
qcpool2	Pool	LPS853	Pool	FALSE
qcpool3	Pool	LPS853	Pool	FALSE
qcpool4	Pool	LPS853	Pool	FALSE
qcpool5	Pool	LPS853	Pool	FALSE
